 zone T = "ep =    1.00000000000000      ",
   1.30102999566398                          NaN
 zone T = "ep =   0.794328234724281      ",
   1.30102999566398                          NaN
 zone T = "ep =   0.630957344480193      ",
   1.30102999566398                          NaN
 zone T = "ep =   0.501187233627272      ",
   1.30102999566398                          NaN
 zone T = "ep =   0.398107170553497      ",
   1.30102999566398                          NaN
 zone T = "ep =   0.316227766016838      ",
   1.30102999566398       -4.47087371290798     
 zone T = "ep =   0.251188643150958      ",
   1.30102999566398       -4.36979298341163     
 zone T = "ep =   0.199526231496888      ",
   1.30102999566398       -4.29150319570898     
 zone T = "ep =   0.158489319246111      ",
   1.30102999566398       -4.22793269528756     
 zone T = "ep =   0.125892541179417      ",
   1.30102999566398       -4.16823584038438     
 zone T = "ep =   0.100000000000000      ",
   1.30102999566398       -4.10710392110548     
 zone T = "ep =   7.943282347242814E-002 ",
   1.30102999566398       -4.04973259825517     
 zone T = "ep =   6.309573444801933E-002 ",
   1.30102999566398       -4.00758222744307     
 zone T = "ep =   5.011872336272723E-002 ",
   1.30102999566398       -3.99465692827537     
 zone T = "ep =   3.981071705534973E-002 ",
   1.30102999566398       -4.03205742179035     
 zone T = "ep =   3.162277660168379E-002 ",
   1.30102999566398       -4.16963232187957     
 zone T = "ep =   2.511886431509579E-002 ",
   1.30102999566398       -4.67831809097882     
 zone T = "ep =   1.995262314968880E-002 ",
   1.30102999566398       -4.31175905648007     
 zone T = "ep =   1.584893192461113E-002 ",
   1.30102999566398       -3.85986797512292     
 zone T = "ep =   1.258925411794167E-002 ",
   1.30102999566398       -3.62239713917420     
 zone T = "ep =   1.000000000000000E-002 ",
   1.30102999566398       -3.46832613323467     
 zone T = "ep =   7.943282347242814E-003 ",
   1.30102999566398       -3.36189506366102     
 zone T = "ep =   6.309573444801929E-003 ",
   1.30102999566398       -3.28631175502456     
 zone T = "ep =   5.011872336272725E-003 ",
   1.30102999566398       -3.23171088896871     
 zone T = "ep =   3.981071705534973E-003 ",
   1.30102999566398       -3.19172725201010     
 zone T = "ep =   3.162277660168379E-003 ",
   1.30102999566398       -3.16209156872846     
 zone T = "ep =   2.511886431509579E-003 ",
   1.30102999566398       -3.13988468340422     
 zone T = "ep =   1.995262314968879E-003 ",
   1.30102999566398       -3.12308228164516     
 zone T = "ep =   1.584893192461114E-003 ",
   1.30102999566398       -3.11026141168133     
 zone T = "ep =   1.258925411794167E-003 ",
   1.30102999566398       -3.10040788822934     
 zone T = "ep =   1.000000000000000E-003 ",
   1.30102999566398       -3.09278885685690     
 zone T = "ep =   7.943282347242813E-004 ",
   1.30102999566398       -3.08686775564365     
 zone T = "ep =   6.309573444801930E-004 ",
   1.30102999566398       -3.08224694673159     
 zone T = "ep =   5.011872336272724E-004 ",
   1.30102999566398       -3.07862851203493     
 zone T = "ep =   3.981071705534973E-004 ",
   1.30102999566398       -3.07578708427041     
 zone T = "ep =   3.162277660168379E-004 ",
   1.30102999566398       -3.07355074663620     
 zone T = "ep =   2.511886431509580E-004 ",
   1.30102999566398       -3.07178741290319     
 zone T = "ep =   1.995262314968879E-004 ",
   1.30102999566398       -3.07039498243184     
 zone T = "ep =   1.584893192461114E-004 ",
   1.30102999566398       -3.06929413209704     
 zone T = "ep =   1.258925411794167E-004 ",
   1.30102999566398       -3.06842297413938     
 zone T = "ep =   1.000000000000000E-004 ",
   1.30102999566398       -3.06773305797106     
 zone T = "ep =   7.943282347242821E-005 ",
   1.30102999566398       -3.06718634291403     
 zone T = "ep =   6.309573444801931E-005 ",
   1.30102999566398       -3.06675289601915     
 zone T = "ep =   5.011872336272724E-005 ",
   1.30102999566398       -3.06640911615023     
 zone T = "ep =   3.981071705534969E-005 ",
   1.30102999566398       -3.06613637066491     
 zone T = "ep =   3.162277660168380E-005 ",
   1.30102999566398       -3.06591993203813     
 zone T = "ep =   2.511886431509582E-005 ",
   1.30102999566398       -3.06574813935359     
 zone T = "ep =   1.995262314968879E-005 ",
   1.30102999566398       -3.06561174758097     
 zone T = "ep =   1.584893192461114E-005 ",
   1.30102999566398       -3.06550347927399     
 zone T = "ep =   1.258925411794166E-005 ",
   1.30102999566398       -3.06541749235234     
 zone T = "ep =   1.000000000000000E-005 ",
   1.30102999566398       -3.06534919690088     
 zone T = "ep =   7.943282347242822E-006 ",
   1.30102999566398       -3.06529499554982     
 zone T = "ep =   6.309573444801930E-006 ",
   1.30102999566398       -3.06525195025739     
 zone T = "ep =   5.011872336272724E-006 ",
   1.30102999566398       -3.06521765273020     
 zone T = "ep =   3.981071705534969E-006 ",
   1.30102999566398       -3.06519041240364     
 zone T = "ep =   3.162277660168380E-006 ",
   1.30102999566398       -3.06516899840708     
 zone T = "ep =   2.511886431509582E-006 ",
   1.30102999566398       -3.06515180089616     
 zone T = "ep =   1.995262314968879E-006 ",
   1.30102999566398       -3.06513732362122     
 zone T = "ep =   1.584893192461114E-006 ",
   1.30102999566398       -3.06512881864246     
 zone T = "ep =   1.258925411794166E-006 ",
   1.30102999566398       -3.06511749261822     
 zone T = "ep =   1.000000000000000E-006 ",
   1.30102999566398       -3.06511496875651     
 zone T = "ep =   7.943282347242822E-007 ",
   1.30102999566398       -3.06510055247259     
 zone T = "ep =   6.309573444801930E-007 ",
   1.30102999566398       -3.06509223512099     
 zone T = "ep =   5.011872336272725E-007 ",
   1.30102999566398       -3.06509474774325     
 zone T = "ep =   3.981071705534969E-007 ",
   1.30102999566398       -3.06511577844659     
 zone T = "ep =   3.162277660168379E-007 ",
   1.30102999566398       -3.06511651563890     
