 zone T = "Var            1 : IMEX",
 zone T = "Var            2 : IMEX",
 0.00000E+00  0.12787E+00
-0.10000E+00  0.21470E+00
-0.20000E+00  0.30725E+00
-0.30000E+00  0.40761E+00
-0.40000E+00  0.51908E+00
-0.50000E+00  0.64737E+00
-0.60000E+00  0.80393E+00
-0.70000E+00  0.10191E+01
-0.80000E+00  0.14548E+01
-0.90000E+00  0.13690E+01
-0.10000E+01  0.11453E+01
-0.11000E+01  0.10624E+01
-0.12000E+01  0.10238E+01
-0.13000E+01  0.10049E+01
-0.14000E+01  0.99503E+00
-0.15000E+01  0.98894E+00
-0.16000E+01  0.98428E+00
-0.17000E+01  0.98025E+00
-0.18000E+01  0.97670E+00
-0.19000E+01  0.97355E+00
-0.20000E+01  0.97065E+00
-0.21000E+01  0.96786E+00
-0.22000E+01  0.96512E+00
-0.23000E+01  0.96247E+00
-0.24000E+01  0.96000E+00
-0.25000E+01  0.95779E+00
-0.26000E+01  0.95589E+00
-0.27000E+01  0.95433E+00
-0.28000E+01  0.95307E+00
-0.29000E+01  0.95207E+00
-0.30000E+01  0.95129E+00
-0.31000E+01  0.95070E+00
-0.32000E+01  0.95024E+00
-0.33000E+01  0.94988E+00
-0.34000E+01  0.94961E+00
-0.35000E+01  0.94941E+00
-0.36000E+01  0.94925E+00
-0.37000E+01  0.94912E+00
-0.38000E+01  0.94902E+00
-0.39000E+01  0.94895E+00
-0.40000E+01  0.94889E+00
-0.41000E+01  0.94884E+00
-0.42000E+01  0.94881E+00
-0.43000E+01  0.94878E+00
-0.44000E+01  0.94876E+00
-0.45000E+01  0.94874E+00
-0.46000E+01  0.94872E+00
-0.47000E+01  0.94871E+00
-0.48000E+01  0.94870E+00
-0.49000E+01  0.94870E+00
-0.50000E+01  0.94869E+00
-0.51000E+01  0.94869E+00
-0.52000E+01  0.94868E+00
-0.53000E+01  0.94868E+00
-0.54000E+01  0.94868E+00
-0.55000E+01  0.94868E+00
-0.56000E+01  0.94868E+00
-0.57000E+01  0.94867E+00
-0.58000E+01  0.94867E+00
-0.59000E+01  0.94867E+00
-0.60000E+01  0.94867E+00
-0.61000E+01  0.94867E+00
-0.62000E+01  0.94867E+00
-0.63000E+01  0.94867E+00
-0.64000E+01  0.94867E+00
-0.65000E+01  0.94867E+00
-0.66000E+01  0.94867E+00
-0.67000E+01  0.94867E+00
-0.68000E+01  0.94867E+00
-0.69000E+01  0.94867E+00
-0.70000E+01  0.94867E+00
-0.71000E+01  0.94867E+00
-0.72000E+01  0.94867E+00
-0.73000E+01  0.94867E+00
-0.74000E+01  0.94867E+00
-0.75000E+01  0.94867E+00
-0.76000E+01  0.94867E+00
-0.77000E+01  0.94867E+00
-0.78000E+01  0.94867E+00
-0.79000E+01  0.94867E+00
-0.80000E+01  0.94867E+00
 zone T = "Var            2 : Predicted",
 0.00000E+00  0.20138E+00
-0.10000E+00  0.27415E+00
-0.20000E+00  0.34840E+00
-0.30000E+00  0.42461E+00
-0.40000E+00  0.50343E+00
-0.50000E+00  0.58578E+00
-0.60000E+00  0.67295E+00
-0.70000E+00  0.76686E+00
-0.80000E+00  0.87038E+00
-0.90000E+00  0.98822E+00
-0.10000E+01  0.11289E+01
-0.11000E+01  0.13113E+01
-0.12000E+01  0.15984E+01
-0.13000E+01  0.21975E+01
-0.14000E+01  0.16529E+01
-0.15000E+01  0.15458E+01
-0.16000E+01  0.15171E+01
-0.17000E+01  0.15241E+01
-0.18000E+01  0.15509E+01
-0.19000E+01  0.15885E+01
-0.20000E+01  0.16318E+01
-0.21000E+01  0.16787E+01
-0.22000E+01  0.17303E+01
-0.23000E+01  0.17903E+01
-0.24000E+01  0.18647E+01
-0.25000E+01  0.19644E+01
-0.26000E+01  0.21132E+01
-0.27000E+01  0.24080E+01
-0.28000E+01  0.25516E+01
-0.29000E+01  0.21924E+01
-0.30000E+01  0.20494E+01
-0.31000E+01  0.19644E+01
-0.32000E+01  0.19072E+01
-0.33000E+01  0.18664E+01
-0.34000E+01  0.18363E+01
-0.35000E+01  0.18135E+01
-0.36000E+01  0.17961E+01
-0.37000E+01  0.17827E+01
-0.38000E+01  0.17723E+01
-0.39000E+01  0.17641E+01
-0.40000E+01  0.17577E+01
-0.41000E+01  0.17526E+01
-0.42000E+01  0.17487E+01
-0.43000E+01  0.17455E+01
-0.44000E+01  0.17431E+01
-0.45000E+01  0.17411E+01
-0.46000E+01  0.17395E+01
-0.47000E+01  0.17383E+01
-0.48000E+01  0.17373E+01
-0.49000E+01  0.17366E+01
-0.50000E+01  0.17360E+01
-0.51000E+01  0.17355E+01
-0.52000E+01  0.17351E+01
-0.53000E+01  0.17348E+01
-0.54000E+01  0.17345E+01
-0.55000E+01  0.17343E+01
-0.56000E+01  0.17342E+01
-0.57000E+01  0.17341E+01
-0.58000E+01  0.17340E+01
-0.59000E+01  0.17339E+01
-0.60000E+01  0.17338E+01
-0.61000E+01  0.17338E+01
-0.62000E+01  0.17337E+01
-0.63000E+01  0.17337E+01
-0.64000E+01  0.17337E+01
-0.65000E+01  0.17337E+01
-0.66000E+01  0.17336E+01
-0.67000E+01  0.17336E+01
-0.68000E+01  0.17336E+01
-0.69000E+01  0.17336E+01
-0.70000E+01  0.17336E+01
-0.71000E+01  0.17336E+01
-0.72000E+01  0.17336E+01
-0.73000E+01  0.17336E+01
-0.74000E+01  0.17336E+01
-0.75000E+01  0.17336E+01
-0.76000E+01  0.17336E+01
-0.77000E+01  0.17336E+01
-0.78000E+01  0.17336E+01
-0.79000E+01  0.17336E+01
-0.80000E+01  0.17336E+01
 zone T = "Var            3 : IMEX",
 0.00000E+00 -0.28138E+00
-0.10000E+00 -0.17426E+00
-0.20000E+00 -0.47786E-01
-0.30000E+00  0.11639E+00
-0.40000E+00  0.38282E+00
-0.50000E+00  0.89177E+00
-0.60000E+00  0.34984E+00
-0.70000E+00  0.19812E+00
-0.80000E+00  0.11542E+00
-0.90000E+00  0.62161E-01
-0.10000E+01  0.24917E-01
-0.11000E+01 -0.24721E-02
-0.12000E+01 -0.23316E-01
-0.13000E+01 -0.39568E-01
-0.14000E+01 -0.52452E-01
-0.15000E+01 -0.62776E-01
-0.16000E+01 -0.71095E-01
-0.17000E+01 -0.77812E-01
-0.18000E+01 -0.83234E-01
-0.19000E+01 -0.87603E-01
-0.20000E+01 -0.91116E-01
-0.21000E+01 -0.93936E-01
-0.22000E+01 -0.96195E-01
-0.23000E+01 -0.98002E-01
-0.24000E+01 -0.99446E-01
-0.25000E+01 -0.10060E+00
-0.26000E+01 -0.10152E+00
-0.27000E+01 -0.10225E+00
-0.28000E+01 -0.10283E+00
-0.29000E+01 -0.10330E+00
-0.30000E+01 -0.10366E+00
-0.31000E+01 -0.10396E+00
-0.32000E+01 -0.10419E+00
-0.33000E+01 -0.10438E+00
-0.34000E+01 -0.10452E+00
-0.35000E+01 -0.10464E+00
-0.36000E+01 -0.10474E+00
-0.37000E+01 -0.10481E+00
-0.38000E+01 -0.10487E+00
-0.39000E+01 -0.10491E+00
