 zone T = "Var            1 : IMPLICIT",
 zone T = "Var            2 : IMPLICIT",
 0.00000E+00  0.38543E+01
-0.10000E+00  0.38592E+01
-0.20000E+00  0.40331E+01
-0.30000E+00  0.35126E+01
-0.40000E+00  0.32782E+01
-0.50000E+00  0.31199E+01
-0.60000E+00  0.30130E+01
-0.70000E+00  0.29436E+01
-0.80000E+00  0.28996E+01
-0.90000E+00  0.28827E+01
-0.10000E+01  0.29100E+01
-0.11000E+01  0.30027E+01
-0.12000E+01  0.31812E+01
-0.13000E+01  0.34680E+01
-0.14000E+01  0.38898E+01
-0.15000E+01  0.44778E+01
-0.16000E+01  0.52635E+01
-0.17000E+01  0.62618E+01
-0.18000E+01  0.71536E+01
-0.19000E+01  0.68731E+01
-0.20000E+01  0.58635E+01
-0.21000E+01  0.50550E+01
-0.22000E+01  0.45252E+01
-0.23000E+01  0.39702E+01
-0.24000E+01  0.32478E+01
-0.25000E+01  0.27489E+01
-0.26000E+01  0.23697E+01
-0.27000E+01  0.20844E+01
-0.28000E+01  0.18765E+01
-0.29000E+01  0.17307E+01
-0.30000E+01  0.16332E+01
-0.31000E+01  0.15746E+01
-0.32000E+01  0.15524E+01
-0.33000E+01  0.15737E+01
-0.34000E+01  0.16735E+01
-0.35000E+01  0.21646E+01
-0.36000E+01  0.15857E+01
-0.37000E+01  0.14356E+01
-0.38000E+01  0.13459E+01
-0.39000E+01  0.12841E+01
-0.40000E+01  0.12389E+01
-0.41000E+01  0.12048E+01
-0.42000E+01  0.11787E+01
-0.43000E+01  0.11585E+01
-0.44000E+01  0.11428E+01
-0.45000E+01  0.11304E+01
-0.46000E+01  0.11207E+01
-0.47000E+01  0.11130E+01
-0.48000E+01  0.11069E+01
-0.49000E+01  0.11022E+01
-0.50000E+01  0.10984E+01
-0.51000E+01  0.10954E+01
-0.52000E+01  0.10930E+01
-0.53000E+01  0.10911E+01
-0.54000E+01  0.10896E+01
-0.55000E+01  0.10884E+01
-0.56000E+01  0.10875E+01
-0.57000E+01  0.10867E+01
-0.58000E+01  0.10861E+01
-0.59000E+01  0.10856E+01
-0.60000E+01  0.10853E+01
-0.61000E+01  0.10850E+01
-0.62000E+01  0.10847E+01
-0.63000E+01  0.10846E+01
-0.64000E+01  0.10844E+01
-0.65000E+01  0.10843E+01
-0.66000E+01  0.10842E+01
-0.67000E+01  0.10841E+01
-0.68000E+01  0.10841E+01
-0.69000E+01  0.10840E+01
-0.70000E+01  0.10840E+01
-0.71000E+01  0.10839E+01
-0.72000E+01  0.10839E+01
-0.73000E+01  0.10839E+01
-0.74000E+01  0.10839E+01
-0.75000E+01  0.10839E+01
-0.76000E+01  0.10839E+01
-0.77000E+01  0.10839E+01
-0.78000E+01  0.10838E+01
-0.79000E+01  0.10838E+01
-0.80000E+01  0.10838E+01
 zone T = "Var            2 : Predicted",
 0.00000E+00  0.18006E+01
-0.10000E+00  0.16699E+01
-0.20000E+00  0.15439E+01
-0.30000E+00  0.14248E+01
-0.40000E+00  0.13152E+01
-0.50000E+00  0.12179E+01
-0.60000E+00  0.11352E+01
-0.70000E+00  0.10677E+01
-0.80000E+00  0.10144E+01
-0.90000E+00  0.97294E+00
-0.10000E+01  0.94205E+00
-0.11000E+01  0.92243E+00
-0.12000E+01  0.91738E+00
-0.13000E+01  0.93200E+00
-0.14000E+01  0.97163E+00
-0.15000E+01  0.10396E+01
-0.16000E+01  0.11346E+01
-0.17000E+01  0.12512E+01
-0.18000E+01  0.13871E+01
-0.19000E+01  0.15502E+01
-0.20000E+01  0.18011E+01
-0.21000E+01  0.16446E+01
-0.22000E+01  0.13180E+01
-0.23000E+01  0.11037E+01
-0.24000E+01  0.94194E+00
-0.25000E+01  0.81564E+00
-0.26000E+01  0.71578E+00
-0.27000E+01  0.63668E+00
-0.28000E+01  0.57345E+00
-0.29000E+01  0.50420E+00
-0.30000E+01  0.44802E+00
-0.31000E+01  0.40571E+00
-0.32000E+01  0.37298E+00
-0.33000E+01  0.34710E+00
-0.34000E+01  0.32652E+00
-0.35000E+01  0.31012E+00
-0.36000E+01  0.29691E+00
-0.37000E+01  0.28600E+00
-0.38000E+01  0.27722E+00
-0.39000E+01  0.27005E+00
-0.40000E+01  0.26430E+00
-0.41000E+01  0.25968E+00
-0.42000E+01  0.25598E+00
-0.43000E+01  0.25302E+00
-0.44000E+01  0.25065E+00
-0.45000E+01  0.24876E+00
-0.46000E+01  0.24726E+00
-0.47000E+01  0.24606E+00
-0.48000E+01  0.24510E+00
-0.49000E+01  0.24434E+00
-0.50000E+01  0.24373E+00
-0.51000E+01  0.24325E+00
-0.52000E+01  0.24287E+00
-0.53000E+01  0.24256E+00
-0.54000E+01  0.24232E+00
-0.55000E+01  0.24213E+00
-0.56000E+01  0.24198E+00
-0.57000E+01  0.24186E+00
-0.58000E+01  0.24176E+00
-0.59000E+01  0.24168E+00
-0.60000E+01  0.24162E+00
-0.61000E+01  0.24157E+00
-0.62000E+01  0.24154E+00
-0.63000E+01  0.24150E+00
-0.64000E+01  0.24148E+00
-0.65000E+01  0.24146E+00
-0.66000E+01  0.24145E+00
-0.67000E+01  0.24143E+00
-0.68000E+01  0.24142E+00
-0.69000E+01  0.24142E+00
-0.70000E+01  0.24141E+00
-0.71000E+01  0.24141E+00
-0.72000E+01  0.24140E+00
-0.73000E+01  0.24140E+00
-0.74000E+01  0.24140E+00
-0.75000E+01  0.24139E+00
-0.76000E+01  0.24139E+00
-0.77000E+01  0.24139E+00
-0.78000E+01  0.24139E+00
-0.79000E+01  0.24139E+00
-0.80000E+01  0.24139E+00
 zone T = "Var            3 : IMPLICIT",
 0.00000E+00  0.37225E+01
-0.10000E+00  0.36122E+01
-0.20000E+00  0.35254E+01
-0.30000E+00  0.34877E+01
-0.40000E+00  0.36139E+01
-0.50000E+00  0.34323E+01
-0.60000E+00  0.31847E+01
-0.70000E+00  0.31134E+01
-0.80000E+00  0.32517E+01
-0.90000E+00  0.31873E+01
-0.10000E+01  0.30181E+01
-0.11000E+01  0.30327E+01
-0.12000E+01  0.31665E+01
-0.13000E+01  0.34210E+01
-0.14000E+01  0.38141E+01
-0.15000E+01  0.43728E+01
-0.16000E+01  0.51266E+01
-0.17000E+01  0.60897E+01
-0.18000E+01  0.70133E+01
-0.19000E+01  0.66876E+01
-0.20000E+01  0.61536E+01
-0.21000E+01  0.50532E+01
-0.22000E+01  0.42462E+01
-0.23000E+01  0.36641E+01
-0.24000E+01  0.33192E+01
-0.25000E+01  0.30801E+01
-0.26000E+01  0.25170E+01
-0.27000E+01  0.22948E+01
-0.28000E+01  0.22290E+01
-0.29000E+01  0.17034E+01
-0.30000E+01  0.14352E+01
-0.31000E+01  0.12497E+01
-0.32000E+01  0.11116E+01
-0.33000E+01  0.10053E+01
-0.34000E+01  0.92217E+00
-0.35000E+01  0.85661E+00
-0.36000E+01  0.80472E+00
-0.37000E+01  0.76359E+00
-0.38000E+01  0.73093E+00
-0.39000E+01  0.70497E+00
-0.40000E+01  0.68434E+00
-0.41000E+01  0.66794E+00
-0.42000E+01  0.65489E+00
-0.43000E+01  0.64452E+00
-0.44000E+01  0.63627E+00
-0.45000E+01  0.62972E+00
-0.46000E+01  0.62450E+00
-0.47000E+01  0.62036E+00
-0.48000E+01  0.61707E+00
-0.49000E+01  0.61445E+00
-0.50000E+01  0.61238E+00
-0.51000E+01  0.61072E+00
-0.52000E+01  0.60941E+00
-0.53000E+01  0.60837E+00
-0.54000E+01  0.60754E+00
-0.55000E+01  0.60688E+00
-0.56000E+01  0.60636E+00
-0.57000E+01  0.60595E+00
-0.58000E+01  0.60562E+00
-0.59000E+01  0.60535E+00
-0.60000E+01  0.60515E+00
-0.61000E+01  0.60498E+00
-0.62000E+01  0.60485E+00
-0.63000E+01  0.60475E+00
-0.64000E+01  0.60466E+00
-0.65000E+01  0.60460E+00
-0.66000E+01  0.60454E+00
-0.67000E+01  0.60450E+00
-0.68000E+01  0.60447E+00
-0.69000E+01  0.60444E+00
-0.70000E+01  0.60442E+00
-0.71000E+01  0.60441E+00
-0.72000E+01  0.60439E+00
-0.73000E+01  0.60438E+00
-0.74000E+01  0.60437E+00
-0.75000E+01  0.60437E+00
-0.76000E+01  0.60436E+00
-0.77000E+01  0.60436E+00
-0.78000E+01  0.60436E+00
-0.79000E+01  0.60435E+00
-0.80000E+01  0.60435E+00
 zone T = "Var            3 : Predicted",
 0.00000E+00  0.18079E+01
-0.10000E+00  0.16767E+01
-0.20000E+00  0.15501E+01
-0.30000E+00  0.14301E+01
-0.40000E+00  0.13192E+01
-0.50000E+00  0.12203E+01
-0.60000E+00  0.11356E+01
-0.70000E+00  0.10658E+01
-0.80000E+00  0.10097E+01
-0.90000E+00  0.96485E+00
-0.10000E+01  0.92918E+00
-0.11000E+01  0.90256E+00
-0.12000E+01  0.88733E+00
-0.13000E+01  0.88786E+00
-0.14000E+01  0.90947E+00
-0.15000E+01  0.95701E+00
-0.16000E+01  0.10336E+01
-0.17000E+01  0.11412E+01
-0.18000E+01  0.12881E+01
-0.19000E+01  0.15077E+01
-0.20000E+01  0.16428E+01
-0.21000E+01  0.13156E+01
-0.22000E+01  0.10753E+01
-0.23000E+01  0.91965E+00
-0.24000E+01  0.81781E+00
-0.25000E+01  0.75742E+00
-0.26000E+01  0.73575E+00
-0.27000E+01  0.69858E+00
-0.28000E+01  0.58717E+00
-0.29000E+01  0.51252E+00
-0.30000E+01  0.44474E+00
-0.31000E+01  0.39509E+00
-0.32000E+01  0.35723E+00
-0.33000E+01  0.32737E+00
-0.34000E+01  0.30235E+00
-0.35000E+01  0.28139E+00
-0.36000E+01  0.26443E+00
-0.37000E+01  0.25074E+00
-0.38000E+01  0.23972E+00
-0.39000E+01  0.23087E+00
-0.40000E+01  0.22378E+00
-0.41000E+01  0.21810E+00
-0.42000E+01  0.21357E+00
-0.43000E+01  0.20994E+00
-0.44000E+01  0.20668E+00
-0.45000E+01  0.20407E+00
-0.46000E+01  0.20200E+00
-0.47000E+01  0.20035E+00
-0.48000E+01  0.19904E+00
-0.49000E+01  0.19800E+00
-0.50000E+01  0.19717E+00
-0.51000E+01  0.19652E+00
-0.52000E+01  0.19599E+00
-0.53000E+01  0.19558E+00
-0.54000E+01  0.19525E+00
-0.55000E+01  0.19498E+00
-0.56000E+01  0.19478E+00
-0.57000E+01  0.19461E+00
-0.58000E+01  0.19448E+00
-0.59000E+01  0.19437E+00
-0.60000E+01  0.19429E+00
-0.61000E+01  0.19423E+00
-0.62000E+01  0.19417E+00
-0.63000E+01  0.19413E+00
-0.64000E+01  0.19410E+00
-0.65000E+01  0.19407E+00
-0.66000E+01  0.19405E+00
-0.67000E+01  0.19403E+00
-0.68000E+01  0.19402E+00
-0.69000E+01  0.19401E+00
-0.70000E+01  0.19400E+00
-0.71000E+01  0.19400E+00
-0.72000E+01  0.19399E+00
-0.73000E+01  0.19399E+00
-0.74000E+01  0.19398E+00
-0.75000E+01  0.19398E+00
-0.76000E+01  0.19398E+00
-0.77000E+01  0.19398E+00
-0.78000E+01  0.19398E+00
-0.79000E+01  0.19397E+00
-0.80000E+01  0.19397E+00
 zone T = "Var            4 : IMPLICIT",
 0.00000E+00  0.41386E+01
-0.10000E+00  0.39347E+01
-0.20000E+00  0.37516E+01
-0.30000E+00  0.35939E+01
-0.40000E+00  0.34660E+01
-0.50000E+00  0.33655E+01
-0.60000E+00  0.32677E+01
-0.70000E+00  0.31406E+01
-0.80000E+00  0.30071E+01
-0.90000E+00  0.29155E+01
-0.10000E+01  0.28908E+01
-0.11000E+01  0.29443E+01
-0.12000E+01  0.30877E+01
-0.13000E+01  0.33379E+01
-0.14000E+01  0.37178E+01
-0.15000E+01  0.42562E+01
-0.16000E+01  0.49824E+01
-0.17000E+01  0.59077E+01
-0.18000E+01  0.70133E+01
-0.19000E+01  0.64400E+01
-0.20000E+01  0.55175E+01
-0.21000E+01  0.47254E+01
-0.22000E+01  0.40897E+01
-0.23000E+01  0.35463E+01
-0.24000E+01  0.30247E+01
-0.25000E+01  0.25675E+01
-0.26000E+01  0.22179E+01
-0.27000E+01  0.19846E+01
-0.28000E+01  0.18873E+01
-0.29000E+01  0.31234E+01
-0.30000E+01  0.15806E+01
-0.31000E+01  0.13421E+01
-0.32000E+01  0.11854E+01
-0.33000E+01  0.10701E+01
-0.34000E+01  0.98187E+00
-0.35000E+01  0.91315E+00
-0.36000E+01  0.85924E+00
-0.37000E+01  0.81676E+00
-0.38000E+01  0.78321E+00
-0.39000E+01  0.75665E+00
-0.40000E+01  0.73561E+00
-0.41000E+01  0.71892E+00
-0.42000E+01  0.70568E+00
-0.43000E+01  0.69517E+00
-0.44000E+01  0.68683E+00
-0.45000E+01  0.68021E+00
-0.46000E+01  0.67495E+00
-0.47000E+01  0.67077E+00
-0.48000E+01  0.66745E+00
-0.49000E+01  0.66482E+00
-0.50000E+01  0.66272E+00
-0.51000E+01  0.66106E+00
-0.52000E+01  0.65974E+00
-0.53000E+01  0.65869E+00
-0.54000E+01  0.65786E+00
-0.55000E+01  0.65720E+00
-0.56000E+01  0.65667E+00
-0.57000E+01  0.65625E+00
-0.58000E+01  0.65592E+00
-0.59000E+01  0.65566E+00
-0.60000E+01  0.65545E+00
-0.61000E+01  0.65528E+00
-0.62000E+01  0.65515E+00
-0.63000E+01  0.65505E+00
-0.64000E+01  0.65496E+00
-0.65000E+01  0.65490E+00
-0.66000E+01  0.65484E+00
-0.67000E+01  0.65480E+00
-0.68000E+01  0.65477E+00
-0.69000E+01  0.65474E+00
-0.70000E+01  0.65472E+00
-0.71000E+01  0.65470E+00
-0.72000E+01  0.65469E+00
-0.73000E+01  0.65468E+00
-0.74000E+01  0.65467E+00
-0.75000E+01  0.65467E+00
-0.76000E+01  0.65466E+00
-0.77000E+01  0.65466E+00
-0.78000E+01  0.65465E+00
-0.79000E+01  0.65465E+00
-0.80000E+01  0.65465E+00
 zone T = "Var            4 : Predicted",
 0.00000E+00  0.18155E+01
-0.10000E+00  0.16839E+01
-0.20000E+00  0.15566E+01
-0.30000E+00  0.14357E+01
-0.40000E+00  0.13236E+01
-0.50000E+00  0.12231E+01
-0.60000E+00  0.11364E+01
-0.70000E+00  0.10644E+01
-0.80000E+00  0.10057E+01
-0.90000E+00  0.95775E+00
-0.10000E+01  0.91782E+00
-0.11000E+01  0.88500E+00
-0.12000E+01  0.86071E+00
-0.13000E+01  0.84844E+00
-0.14000E+01  0.85300E+00
-0.15000E+01  0.87934E+00
-0.16000E+01  0.93017E+00
-0.17000E+01  0.10033E+01
-0.18000E+01  0.10946E+01
-0.19000E+01  0.12287E+01
-0.20000E+01  0.17474E+01
-0.21000E+01  0.11601E+01
-0.22000E+01  0.10509E+01
-0.23000E+01  0.10398E+01
-0.24000E+01  0.93443E+00
-0.25000E+01  0.66677E+00
-0.26000E+01  0.50957E+00
-0.27000E+01  0.39647E+00
-0.28000E+01  0.31476E+00
-0.29000E+01  0.25537E+00
-0.30000E+01  0.21132E+00
-0.31000E+01  0.17800E+00
-0.32000E+01  0.15199E+00
-0.33000E+01  0.13102E+00
-0.34000E+01  0.11401E+00
-0.35000E+01  0.10019E+00
-0.36000E+01  0.88823E-01
-0.37000E+01  0.79598E-01
-0.38000E+01  0.72146E-01
-0.39000E+01  0.66144E-01
-0.40000E+01  0.61321E-01
