 zone T = "ep =   1.000000000000000E-008 ",
   1.39794000867204       -2.58574590520155     
   1.44794000867204       -2.72811478657719     
   1.49794000867204       -2.86384869739212     
   1.54794000867204       -2.98372763766927     
   1.59794000867204       -3.07577223491096     
   1.64794000867204       -3.13020534243150     
   1.69794000867204       -3.14583221635012     
   1.74794000867204       -3.27498954396474     
   1.79794000867204       -3.38194623700124     
   1.84794000867204       -3.44048482030684     
   1.89794000867204       -3.50473032923390     
   1.94794000867204       -3.60480017854101     
   1.99794000867204       -3.64235400782412     
   2.04794000867204       -3.74262364832643     
   2.09794000867204       -3.78380628781189     
   2.14794000867204       -3.87335089093849     
   2.19794000867204       -3.93186402527165     
   2.24794000867204       -3.98305434153741     
   2.29794000867204       -4.04298885167966     
   2.34794000867204       -4.10298968891216     
   2.39794000867204       -4.11493715392242     
   2.44794000867204       -4.21857753874990     
   2.49794000867204       -4.27569150427338     
   2.54794000867204       -4.32411787601136     
   2.59794000867204       -4.37777569360733     
   2.64794000867204       -4.43099042096506     
   2.69794000867204       -4.47974645694360     
   2.74794000867204       -4.53501991199594     
   2.79794000867204       -4.58351498088460     
   2.84794000867204       -4.63509312366621     
   2.89794000867204       -4.68691159531126     
   2.94794000867204       -4.73739725325597     
   2.99794000867204       -4.78657224031449     
   3.04794000867204       -4.83747013312035     
   3.09794000867204       -4.88655458687981     
   3.14794000867204       -4.93729979974360     
   3.19794000867204       -4.98674157991835     
   3.24794000867204       -5.03732388088081     
   3.29794000867204       -5.08779060466582     
   3.34794000867204       -5.13710415628796     
   3.39794000867204       -5.18667146806236     
   3.44794000867204       -5.23735125279206     
   3.49794000867204       -5.28712207824369     
   3.54794000867204       -5.33741106975746     
   3.59794000867204       -5.38754686268905     
   3.64794000867204       -5.43724550675723     
   3.69794000867204       -5.48745664085198     
   3.74794000867204       -5.53715536156246     
   3.79794000867204       -5.58721582878117     
   3.84794000867204       -5.63717316256734     
   3.89794000867204       -5.68721258348285     
   3.94794000867204       -5.73716484812659     
   3.99794000867204       -5.78709094991800     
   4.04794000867204       -5.83719791719857     
   4.09794000867204       -5.88712410578957     
   4.14794000867204       -5.93716883053598     
   4.19794000867204       -5.98702806844907     
   4.24794000867204       -6.03703228636879     
   4.29794000867204       -6.08711991253946     
   4.34794000867204       -6.13709301078464     
   4.39794000867204       -6.18700491752422     
   4.44794000867204       -6.23701435250734     
   4.49794000867204       -6.28703101119121     
   4.54794000867204       -6.33708188328820     
   4.59794000867204       -6.38703482254175     
   4.64794000867204       -6.43705709722097     
   4.69794000867204       -6.48705041682833     
   4.74794000867204       -6.53704541043516     
   4.79794000867204       -6.58702592736320     
   4.84794000867204       -6.63704244875323     
   4.89794000867204       -6.68703435602256     
