 zone T = "ep =   1.000000000000000E-008 ",
   1.54406804435028       -2.22079646814113     
   1.59406804435028        3.30409054321005     
   1.64406804435028        3.38384992601729     
   1.69406804435028        3.34062548164448     
   1.74406804435028        3.24834119205783     
   1.79406804435028        3.13029252276896     
   1.84406804435028        2.99697693004413     
   1.89406804435028        2.84934084027386     
   1.94406804435028        2.69905338723237     
   1.99406804435028        2.54647694476318     
   2.04406804435028        2.39130063505348     
   2.09406804435028        2.23524815868001     
   2.14406804435028        2.07972669910640     
   2.19406804435028        1.92353537379675     
   2.24406804435028        1.76877026577419     
   2.29406804435028        1.61420773562840     
   2.34406804435028        1.46074855189092     
   2.39406804435028        1.30830819979747     
   2.44406804435028        1.15645957625419     
   2.49406804435028        1.00532017217655     
   2.54406804435028       0.900005778393061     
   2.59406804435028       0.704610753793823     
   2.64406804435028       0.554881734475395     
   2.69406804435028       0.405430599666248     
   2.74406804435028       0.256149197785095     
   2.79406804435028       0.107000909434827     
   2.84406804435028      -4.205746922005879E-002
   2.89406804435028      -0.191106252665363     
   2.94406804435028      -0.340131808638705     
   2.99406804435028      -0.489191858889590     
   3.04406804435028      -0.638285178791944     
   3.09406804435028      -0.787414178819150     
   3.14406804435028      -0.936589028417937     
   3.19406804435028       -1.08581235704240     
   3.24406804435028       -1.23507057881009     
   3.29406804435028       -1.38434560676997     
   3.34406804435028       -1.53360357409059     
   3.39406804435028       -1.68278104400765     
   3.44406804435028       -1.83178939481043     
   3.49406804435028       -1.98050466559444     
   3.54406804435028       -2.12871952844748     
   3.59406804435028       -2.27607410859419     
   3.64406804435028       -2.42210446997283     
   3.69406804435028       -2.56601959937002     
   3.74406804435028       -2.70678550506665     
   3.79406804435028       -2.84290911174381     
   3.84406804435028       -2.97253506223765     
   3.89406804435028       -3.09365607569605     
   3.94406804435028       -3.20446016959511     
   3.99406804435028       -3.30387252130283     
   4.04406804435028       -3.39195227994970     
   4.09406804435028       -3.46987927953650     
   4.14406804435028       -3.53949283873946     
   4.19406804435028       -3.60276736823813     
   4.24406804435028       -3.66157988285087     
   4.29406804435028       -3.71728126744150     
   4.34406804435028       -3.77097318468781     
   4.39406804435028       -3.82331887122037     
   4.44406804435028       -3.87482476207275     
   4.49406804435028       -3.92582687819034     
   4.54406804435028       -3.97649448701419     
   4.59406804435028       -4.02695269485578     
   4.64406804435028       -4.07729173484985     
   4.69406804435028       -4.12757146964047     
   4.74406804435028       -4.17782144341774     
   4.79406804435028       -4.22808698582333     
   4.84406804435028       -4.27832981500454     
   4.89406804435028       -4.32861456557959     
   4.94406804435028       -4.37891559932271     
   4.99406804435028       -4.42925313359505     
   5.04406804435028       -4.47963861001615     
