 zone T = "ep =   1.000000000000000E-008 ",
   2.47712125471966       -3.32499445220286     
   2.52712125471966       -3.33265574377034     
   2.57712125471966       -3.36449318107199     
   2.62712125471966       -3.44388646286379     
   2.67712125471966       -3.49286582233025     
   2.72712125471966       -3.51656930259872     
   2.77712125471966       -3.60345275877179     
   2.82712125471966       -3.64688942043340     
   2.87712125471966       -3.69134768134204     
   2.92712125471966       -3.75695714196594     
   2.97712125471966       -3.84178039478003     
   3.02712125471966       -3.91144645787343     
   3.07712125471966       -3.97052679287430     
   3.12712125471966       -3.91312767481753     
   3.17712125471966       -3.96397698253969     
   3.22712125471966       -4.02359536511129     
   3.27712125471966       -4.06993466114100     
   3.32712125471966       -4.12411744745361     
   3.37712125471966       -4.16643871868246     
   3.42712125471966       -4.22952574906214     
   3.47712125471966       -4.27712852835254     
   3.52712125471966       -4.33708672361631     
   3.57712125471966       -4.39426486048112     
   3.62712125471966       -4.44171596262533     
   3.67712125471966       -4.50658603262079     
   3.72712125471966       -4.58485942986960     
   3.77712125471966       -4.64850862679253     
   3.82712125471966       -4.70709521666106     
   3.87712125471966       -4.75911927780686     
   3.92712125471966       -4.81511934249994     
   3.97712125471966       -4.86518226071358     
   4.02712125471966       -4.91961728189068     
   4.07712125471966       -4.97111688004813     
   4.12712125471966       -5.01953839410832     
   4.17712125471966       -5.07028043461098     
   4.22712125471966       -5.02190394550514     
   4.27712125471966       -5.06876552815556     
   4.32712125471966       -5.12077532277887     
   4.37712125471966       -5.16826667440245     
   4.42712125471966       -5.21904747189586     
   4.47712125471966       -5.27091936490256     
   4.52712125471966       -5.32480271429381     
   4.57712125471966       -5.37741842362361     
   4.62712125471966       -5.42276113980587     
   4.67712125471966       -5.47921070086540     
   4.72712125471966       -5.52908875967906     
   4.77712125471966       -5.57718319689767     
   4.82712125471966       -5.63030423470759     
   4.87712125471966       -5.69306178395695     
   4.92712125471966       -5.76012732472491     
   4.97712125471966       -5.83112133051677     
   5.02712125471966       -5.89368407651782     
   5.07712125471966       -5.95164692225179     
   5.12712125471966       -6.00797839348145     
   5.17712125471966       -6.06169857331844     
   5.22712125471966       -6.11645742964134     
   5.27712125471966       -6.16815600387990     
   5.32712125471966       -6.21943779861825     
   5.37712125471966       -6.27161173985179     
   5.42712125471966       -6.32243604058209     
   5.47712125471966       -6.37332177383894     
   5.52712125471966       -6.42435981531395     
   5.57712125471966       -6.47493713337427     
   5.62712125471966       -6.52596085399125     
   5.67712125471966       -6.57613198652779     
   5.72712125471966       -6.62699487705254     
   5.77712125471966       -6.67755386791747     
   5.82712125471966       -6.72861369393130     
   5.87712125471966       -6.77881457855406     
   5.92712125471966       -6.82717116126755     
   5.97712125471966       -6.87608105107365     
